event_id,title,category_type,window_days,direction,percent_change,raw_change,get_in_price,event_utc_datetime
112664333,Guys and Dolls,THEATER,14,up,230.0,2.3,406.0,2026-06-21 00:00:00+00:00
112661074,Guys and Dolls,THEATER,30,up,230.0,2.3,406.0,2026-06-19 00:00:00+00:00
21483342,Seattle Mariners at Pittsburgh Pirates,SPORT,3,up,230.0,2.3,42.0,2026-06-24 22:40:00+00:00
112668136,Guys and Dolls,THEATER,7,up,230.0,2.3,406.0,2026-06-26 00:00:00+00:00
112668136,Guys and Dolls,THEATER,30,up,230.0,2.3,406.0,2026-06-26 00:00:00+00:00
112668136,Guys and Dolls,THEATER,3,up,230.0,2.3,406.0,2026-06-26 00:00:00+00:00
112668136,Guys and Dolls,THEATER,14,up,230.0,2.3,406.0,2026-06-26 00:00:00+00:00
112664333,Guys and Dolls,THEATER,30,up,230.0,2.3,406.0,2026-06-21 00:00:00+00:00
112665426,Guys and Dolls,THEATER,14,up,220.0,2.2,394.0,2026-06-21 18:00:00+00:00
112666364,Guys and Dolls,THEATER,30,up,220.0,2.2,394.0,2026-06-24 00:00:00+00:00
112665426,Guys and Dolls,THEATER,30,up,220.0,2.2,394.0,2026-06-21 18:00:00+00:00
112662476,Guys and Dolls,THEATER,30,up,220.0,2.2,394.0,2026-06-20 00:00:00+00:00
112665426,Guys and Dolls,THEATER,7,up,220.0,2.2,394.0,2026-06-21 18:00:00+00:00
112666364,Guys and Dolls,THEATER,7,up,220.0,2.2,394.0,2026-06-24 00:00:00+00:00
112662476,Guys and Dolls,THEATER,14,up,220.0,2.2,394.0,2026-06-20 00:00:00+00:00
112666364,Guys and Dolls,THEATER,14,up,220.0,2.2,394.0,2026-06-24 00:00:00+00:00
110024090,Flawed Mangoes,CONCERT,14,up,219.0,2.19,147.0,2026-06-23 23:00:00+00:00
107153657,Andy Huggins From Americas Got Talent,THEATER,30,up,217.0,2.17,290.0,2026-06-22 01:00:00+00:00
1337578,Six the Musical,THEATER,30,up,216.0,2.16,694.0,2026-06-20 00:30:00+00:00
1337576,Six the Musical,THEATER,30,up,216.0,2.16,694.0,2026-06-19 00:30:00+00:00
1337579,Six the Musical,THEATER,30,up,216.0,2.16,694.0,2026-06-20 19:00:00+00:00
67655425,Union Omaha at Athletic Club Boise,SPORT,30,up,214.0,2.14,299.0,2026-06-21 05:59:00+00:00
82390162,Minnesota Lynx at Washington Mystics,SPORT,14,up,213.0,2.13,267.0,2026-06-24 23:30:00+00:00
112010221,Sean Patton,THEATER,14,up,209.0,2.09,130.0,2026-06-20 00:00:00+00:00
104463948,Jamie Allans Amaze,THEATER,30,up,205.0,2.05,294.0,2026-06-21 00:00:00+00:00
104463948,Jamie Allans Amaze,THEATER,14,up,205.0,2.05,294.0,2026-06-21 00:00:00+00:00
104463948,Jamie Allans Amaze,THEATER,7,up,205.0,2.05,294.0,2026-06-21 00:00:00+00:00
120128880,Greg Loiacono,CONCERT,14,up,203.0,2.03,124.0,2026-06-20 02:00:00+00:00
89470562,New York Knicks at Oklahoma City Thunder (NBA Finals Game 7 Oklahoma City Home Game 4) (If Necessary),SPORT,30,up,203.0,2.03,3715.0,2026-06-20 00:30:00+00:00
110024090,Flawed Mangoes,CONCERT,30,up,203.0,2.03,147.0,2026-06-23 23:00:00+00:00
117091367,Royal and The Serpent,CONCERT,3,up,200.0,2.0,54.0,2026-06-26 01:00:00+00:00
117091367,Royal and The Serpent,CONCERT,7,up,200.0,2.0,54.0,2026-06-26 01:00:00+00:00
61397795,Guys and Dolls,THEATER,7,up,197.0,1.97,242.0,2026-06-23 18:00:00+00:00
61397795,Guys and Dolls,THEATER,3,up,197.0,1.97,242.0,2026-06-23 18:00:00+00:00
61396952,The Tempest,THEATER,7,up,196.0,1.96,241.0,2026-06-20 18:00:00+00:00
120134291,Prewn,CONCERT,30,up,195.0,1.95,151.0,2026-06-24 23:00:00+00:00
67657262,WOW - The Vegas Spectacular,THEATER,30,up,191.0,1.91,130.0,2026-06-26 04:00:00+00:00
67655427,WOW - The Vegas Spectacular,THEATER,30,up,191.0,1.91,131.0,2026-06-21 00:00:00+00:00
67656406,WOW - The Vegas Spectacular,THEATER,30,up,191.0,1.91,130.0,2026-06-24 04:00:00+00:00
67654101,WOW - The Vegas Spectacular,THEATER,30,up,191.0,1.91,130.0,2026-06-19 04:00:00+00:00
21483096,Minnesota Twins at Arizona Diamondbacks,SPORT,7,up,191.0,1.91,49.0,2026-06-21 19:15:00+00:00
67655954,WOW - The Vegas Spectacular,THEATER,30,up,191.0,1.91,131.0,2026-06-22 00:00:00+00:00
18805495,West Side Story,THEATER,30,up,190.0,1.9,502.0,2026-06-20 17:30:00+00:00
61397795,Guys and Dolls,THEATER,14,up,188.0,1.88,242.0,2026-06-23 18:00:00+00:00
61396953,Something Rotten,THEATER,14,up,188.0,1.88,242.0,2026-06-21 00:00:00+00:00
124653880,Evan Crommett,CONCERT,30,up,187.0,1.87,136.0,2026-06-24 23:00:00+00:00
61396952,The Tempest,THEATER,14,up,187.0,1.87,241.0,2026-06-20 18:00:00+00:00
61396312,Something Rotten,THEATER,14,up,187.0,1.87,241.0,2026-06-19 18:00:00+00:00
81959290,Ali Siddiq,THEATER,30,up,186.0,1.86,174.0,2026-06-27 00:00:00+00:00
69621500,Eureka Day,THEATER,7,up,184.0,1.84,177.0,2026-06-25 23:00:00+00:00
69621500,Eureka Day,THEATER,14,up,184.0,1.84,177.0,2026-06-25 23:00:00+00:00
69621500,Eureka Day,THEATER,3,up,184.0,1.84,177.0,2026-06-25 23:00:00+00:00
107820662,Widowspeak,CONCERT,30,up,182.0,1.82,136.0,2026-06-19 23:30:00+00:00
120128866,Playboy Manbaby,CONCERT,30,up,181.0,1.81,151.0,2026-06-19 23:00:00+00:00
22745253,Synthprov,THEATER,14,up,180.0,1.8,53.0,2026-06-27 04:00:00+00:00
39903551,Rouge - The Sexiest Show in Vegas (18+ Event),THEATER,30,up,179.0,1.79,164.0,2026-06-24 03:00:00+00:00
121417915,Ship Wrek,CONCERT,7,up,179.0,1.79,167.0,2026-06-20 02:00:00+00:00
65962732,Jackson Hole Rodeo,SPORT,30,up,177.0,1.77,237.0,2026-06-25 02:00:00+00:00
68990150,Rossini's La Cenerentola,THEATER,7,up,173.0,1.73,289.0,2026-06-26 23:30:00+00:00
95470387,Ify Nwadiwe,THEATER,14,up,173.0,1.73,163.0,2026-06-22 00:00:00+00:00
68990150,Rossini's La Cenerentola,THEATER,14,up,173.0,1.73,289.0,2026-06-26 23:30:00+00:00
1248671,Hamilton,THEATER,30,up,169.0,1.69,1177.0,2026-06-26 00:30:00+00:00
61398531,Guys and Dolls,THEATER,14,up,167.0,1.67,133.0,2026-06-26 00:00:00+00:00
120135440,Weird Nightmare,CONCERT,30,up,163.0,1.63,151.0,2026-06-25 23:00:00+00:00
113097647,Ivy Queen,CONCERT,7,up,163.0,1.63,63.0,2026-06-19 02:00:00+00:00
132206613,2026 Hart of Detroit Summer Festival - Friday (6/19),CONCERT,3,up,161.0,1.61,120.0,2026-06-19 16:00:00+00:00
87640619,Dexter and the Moonrocks,CONCERT,30,up,160.0,1.6,155.0,2026-06-19 00:00:00+00:00
1263808,The Notebook - The Musical,THEATER,30,up,159.0,1.59,280.0,2026-06-24 00:30:00+00:00
88012899,By Storm,CONCERT,30,up,159.0,1.59,71.0,2026-06-20 02:00:00+00:00
1415968,The Music Man,THEATER,30,up,159.0,1.59,95.0,2026-06-21 18:00:00+00:00
