event_id,title,category_type,event_category_name,forecast_value,forecast_layover_text,get_in_price,stats_total_quantity,event_utc_datetime
12707446,Chicago Symphony Orchestra -  Lincoln Portrait and Ellington Harlem,CONCERT,Classical,0.0,,57.0,856,2026-06-21 20:00:00+00:00
113984932,Leanne Morgan,THEATER,Comedy,0.0,,0.0,0,2026-06-21 19:30:00+00:00
21483096,Minnesota Twins at Arizona Diamondbacks,SPORT,MLB Baseball,0.0,,49.0,9699,2026-06-21 19:15:00+00:00
21483084,Toronto Blue Jays at Chicago Cubs,SPORT,MLB Baseball,0.0,,105.0,3503,2026-06-21 18:20:00+00:00
21483094,Washington Nationals at Tampa Bay Rays,SPORT,MLB Baseball,0.0,,40.0,2646,2026-06-21 17:40:00+00:00
23583405,Piano Man,CONCERT,Rock,0.0,,77.0,113,2026-06-27 01:30:00+00:00
96803620,Chicago,CONCERT,Rock,0.0,,73.0,1974,2026-06-19 00:00:00+00:00
128406004,Shakira,CONCERT,Pop,0.0,,107.0,2521,2026-06-21 02:30:00+00:00
21482904,Minnesota Twins at Arizona Diamondbacks,SPORT,MLB Baseball,0.0,,39.0,10885,2026-06-21 02:10:00+00:00
119257280,Stephen Wilson Jr,CONCERT,Country and Folk,0.0,,72.0,37,2026-06-21 02:00:00+00:00
82391475,North Texas SC at Sporting Kansas City II,SPORT,MLS,0.0,,0.0,0,2026-06-27 00:00:00+00:00
70669372,Amber Autry,THEATER,Comedy,0.0,,0.0,0,2026-06-21 01:30:00+00:00
25731428,Bailey Zimmerman,CONCERT,Country and Folk,0.0,,48.0,289,2026-06-20 23:00:00+00:00
82388440,St Louis City 2 at Minnesota United FC 2,SPORT,MLS,0.0,,0.0,0,2026-06-21 01:00:00+00:00
54448884,Weird Al Yankovic,CONCERT,Rock,0.0,,30.0,1851,2026-06-21 01:00:00+00:00
53122374,Alex Warren,CONCERT,Pop,0.0,,80.0,542,2026-06-26 23:30:00+00:00
81956295,ASAP Rocky,CONCERT,Rap/Hip Hop,0.0,,90.0,1352,2026-06-21 00:30:00+00:00
21483638,Arizona Diamondbacks at Tampa Bay Rays,SPORT,MLB Baseball,0.0,,32.0,1972,2026-06-26 23:10:00+00:00
63795021,Alison Krauss,CONCERT,Country and Folk,0.0,,76.0,2043,2026-06-21 00:30:00+00:00
21483626,Philadelphia Phillies at New York Mets,SPORT,MLB Baseball,0.0,,29.0,12722,2026-06-26 23:10:00+00:00
43325082,Grand Ole Opry: Opry 100,CONCERT,Country and Folk,0.0,,88.0,890,2026-06-25 00:00:00+00:00
21483639,Texas Rangers at Toronto Blue Jays,SPORT,MLB Baseball,0.0,,46.0,2592,2026-06-26 23:07:00+00:00
46414559,OAR,CONCERT,Alternative,0.0,,120.0,538,2026-06-21 00:30:00+00:00
84570833,Goose,CONCERT,Rock,0.0,,62.0,442,2026-06-26 23:00:00+00:00
84570831,The Head And The Heart,CONCERT,Pop,0.0,,110.0,219,2026-06-26 23:00:00+00:00
121851682,Minnesota Lynx at Washington Mystics (Capital One Exclusives),SPORT,WNBA,0.0,,0.0,0,2026-06-24 23:30:00+00:00
78774225,2026 NHL Draft,SPORT,NHL Hockey,0.0,,130.0,230,2026-06-27 03:59:00+00:00
63797235,Joe Bonamassa,CONCERT,Blues and Jazz,0.0,,46.0,2811,2026-06-26 22:30:00+00:00
78563775,Vince Gill,CONCERT,Country and Folk,0.0,,72.0,1410,2026-06-21 00:00:00+00:00
67230421,Josh Groban with Jennifer Hudson,CONCERT,Adult Contemporary,0.0,,108.0,1708,2026-06-21 00:00:00+00:00
67232234,Gabriel Iglesias,THEATER,Comedy,0.0,,236.0,92,2026-06-26 03:00:00+00:00
82390159,Phoenix Mercury at Indiana Fever,SPORT,WNBA,0.0,,21.0,4187,2026-06-24 23:30:00+00:00
107155247,Wiz Khalifa,CONCERT,Rap/Hip Hop,0.0,,99.0,7,2026-06-26 02:00:00+00:00
101106333,Gianmarco Soresi,THEATER,Comedy,0.0,,140.0,6,2026-06-20 23:00:00+00:00
90792464,Leanne Morgan,THEATER,Comedy,0.0,,0.0,0,2026-06-20 23:00:00+00:00
21483338,Chicago Cubs at New York Mets,SPORT,MLB Baseball,0.0,,19.0,9609,2026-06-24 23:10:00+00:00
70669373,Amber Autry,THEATER,Comedy,0.0,,0.0,0,2026-06-20 23:00:00+00:00
114872127,Ben Bankas,THEATER,Comedy,0.0,,124.0,8,2026-06-24 23:00:00+00:00
109586524,CA7RIEL and Paco Amoroso,CONCERT,Dance/Electronica,0.0,,56.0,1476,2026-06-24 23:00:00+00:00
119259544,Amy Grant,CONCERT,Pop,0.0,,167.0,40,2026-06-23 23:30:00+00:00
21275999,Carpenters Legacy,CONCERT,Pop,-0.01,,47.0,327,2026-06-21 00:00:00+00:00
115971010,Kurt Vile and The Violators,CONCERT,Rock,-0.01,,72.0,398,2026-06-27 01:00:00+00:00
61833741,2026 Summerfest - Megan Moroney,CONCERT,Country and Folk,-0.01,,101.0,1526,2026-06-19 00:00:00+00:00
54890816,Herb Alpert,CONCERT,Blues and Jazz,-0.01,,91.0,530,2026-06-20 01:30:00+00:00
36113251,Rush,CONCERT,Rock,-0.01,,247.0,1331,2026-06-25 00:30:00+00:00
43325683,Grand Ole Opry,CONCERT,Country and Folk,-0.01,,83.0,726,2026-06-27 00:00:00+00:00
98152579,Joji,CONCERT,Rap/Hip Hop,-0.01,,55.0,7296,2026-06-25 23:30:00+00:00
21483128,Boston Red Sox at Colorado Rockies,SPORT,MLB Baseball,-0.01,,28.0,14570,2026-06-23 00:40:00+00:00
12295432,San Francisco Symphony - Gaffigan Conducts Beethoven 9,CONCERT,Classical,-0.01,,161.0,197,2026-06-19 02:30:00+00:00
109582085,CA7RIEL & Paco Amoroso,CONCERT,Dance/Electronica,-0.01,,45.0,2580,2026-06-20 00:00:00+00:00
87641448,Freddie Gibbs,CONCERT,Rap/Hip Hop,-0.01,,75.0,91,2026-06-20 03:00:00+00:00
97031214,Melissa Etheridge,CONCERT,Pop,-0.01,,116.0,85,2026-06-25 23:00:00+00:00
94125222,Santana and The Doobie Brothers,CONCERT,Rock,-0.01,,43.0,2952,2026-06-21 23:00:00+00:00
64226141,Khalid,CONCERT,R&B,-0.01,,56.0,1192,2026-06-22 02:30:00+00:00
21483132,Houston Astros at Toronto Blue Jays,SPORT,MLB Baseball,-0.01,,21.0,3554,2026-06-22 23:07:00+00:00
