event_id,title,category_type,direction,percent_change,raw_change,get_in_price,event_utc_datetime
112669549,Cinderella - The Musical,THEATER,up,580.0,5.8,406.0,2026-06-26 22:00:00+00:00
112668137,Cinderella - The Musical,THEATER,up,580.0,5.8,406.0,2026-06-25 22:00:00+00:00
84570047,Guys and Dolls,THEATER,up,569.0,5.69,612.0,2026-06-25 23:30:00+00:00
84566650,Guys and Dolls,THEATER,up,515.0,5.15,630.0,2026-06-19 23:30:00+00:00
131556639,Queremos Reggaeton Party (18+ Event),CONCERT,up,400.0,4.0,109.0,2026-06-20 05:00:00+00:00
130571729,Funky Cha,CONCERT,up,336.0,3.36,139.0,2026-06-26 02:00:00+00:00
37383468,Annie,THEATER,up,291.0,2.91,512.0,2026-06-25 00:30:00+00:00
45968745,August Wilson's Joe Turner's Come and Gone,THEATER,up,268.0,2.68,352.0,2026-06-24 18:00:00+00:00
112668136,Guys and Dolls,THEATER,up,230.0,2.3,406.0,2026-06-26 00:00:00+00:00
112664333,Guys and Dolls,THEATER,up,230.0,2.3,406.0,2026-06-21 00:00:00+00:00
112665426,Guys and Dolls,THEATER,up,220.0,2.2,394.0,2026-06-21 18:00:00+00:00
112666364,Guys and Dolls,THEATER,up,220.0,2.2,394.0,2026-06-24 00:00:00+00:00
104463948,Jamie Allans Amaze,THEATER,up,205.0,2.05,294.0,2026-06-21 00:00:00+00:00
117091367,Royal and The Serpent,CONCERT,up,200.0,2.0,54.0,2026-06-26 01:00:00+00:00
61397795,Guys and Dolls,THEATER,up,197.0,1.97,242.0,2026-06-23 18:00:00+00:00
61396952,The Tempest,THEATER,up,196.0,1.96,241.0,2026-06-20 18:00:00+00:00
21483096,Minnesota Twins at Arizona Diamondbacks,SPORT,up,191.0,1.91,49.0,2026-06-21 19:15:00+00:00
69621500,Eureka Day,THEATER,up,184.0,1.84,177.0,2026-06-25 23:00:00+00:00
121417915,Ship Wrek,CONCERT,up,179.0,1.79,167.0,2026-06-20 02:00:00+00:00
68990150,Rossini's La Cenerentola,THEATER,up,173.0,1.73,289.0,2026-06-26 23:30:00+00:00
